[time=2]:[N=1048576 current nodes UP],[Susceptible= 1048575],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=1048576 current nodes UP],[Susceptible= 1048555],[remove = 0], [ incrementalVisited = 20] ,[totalVisited = 21] 
[time=4]:[N=1048576 current nodes UP],[Susceptible= 1048487],[remove = 0], [ incrementalVisited = 68] ,[totalVisited = 89] 
[time=5]:[N=1048576 current nodes UP],[Susceptible= 1047970],[remove = 0], [ incrementalVisited = 517] ,[totalVisited = 606] 
[time=6]:[N=1048576 current nodes UP],[Susceptible= 1044341],[remove = 0], [ incrementalVisited = 3629] ,[totalVisited = 4235] 
[time=7]:[N=1048576 current nodes UP],[Susceptible= 1028826],[remove = 0], [ incrementalVisited = 15515] ,[totalVisited = 19750] 
[time=8]:[N=1048576 current nodes UP],[Susceptible= 988581],[remove = 0], [ incrementalVisited = 40245] ,[totalVisited = 59995] 
[time=9]:[N=1048576 current nodes UP],[Susceptible= 910994],[remove = 0], [ incrementalVisited = 77587] ,[totalVisited = 137582] 
[time=10]:[N=1048576 current nodes UP],[Susceptible= 786563],[remove = 0], [ incrementalVisited = 124431] ,[totalVisited = 262013] 
[time=11]:[N=1048576 current nodes UP],[Susceptible= 621015],[remove = 0], [ incrementalVisited = 165548] ,[totalVisited = 427561] 
[time=12]:[N=1048576 current nodes UP],[Susceptible= 440037],[remove = 0], [ incrementalVisited = 180978] ,[totalVisited = 608539] 
[time=13]:[N=1048576 current nodes UP],[Susceptible= 270143],[remove = 0], [ incrementalVisited = 169894] ,[totalVisited = 778433] 
[time=14]:[N=1048576 current nodes UP],[Susceptible= 141958],[remove = 0], [ incrementalVisited = 128185] ,[totalVisited = 906618] 
[time=15]:[N=1048576 current nodes UP],[Susceptible= 62209],[remove = 0], [ incrementalVisited = 79749] ,[totalVisited = 986367] 
[time=16]:[N=1048576 current nodes UP],[Susceptible= 22311],[remove = 0], [ incrementalVisited = 39898] ,[totalVisited = 1026265] 
[time=17]:[N=1048576 current nodes UP],[Susceptible= 7677],[remove = 0], [ incrementalVisited = 14634] ,[totalVisited = 1040899] 
[time=18]:[N=1048576 current nodes UP],[Susceptible= 2624],[remove = 0], [ incrementalVisited = 5053] ,[totalVisited = 1045952] 
[time=19]:[N=1048576 current nodes UP],[Susceptible= 967],[remove = 0], [ incrementalVisited = 1657] ,[totalVisited = 1047609] 
[time=20]:[N=1048576 current nodes UP],[Susceptible= 492],[remove = 0], [ incrementalVisited = 475] ,[totalVisited = 1048084] 
[time=21]:[N=1048576 current nodes UP],[Susceptible= 388],[remove = 0], [ incrementalVisited = 104] ,[totalVisited = 1048188] 
