[time=2]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1] 
[time=4]:[N=65536 current nodes UP],[Susceptible= 65533],[remove = 0], [ incrementalVisited = 2] ,[totalVisited = 3] 
[time=5]:[N=65536 current nodes UP],[Susceptible= 65528],[remove = 0], [ incrementalVisited = 5] ,[totalVisited = 8] 
[time=6]:[N=65536 current nodes UP],[Susceptible= 65515],[remove = 0], [ incrementalVisited = 13] ,[totalVisited = 21] 
[time=7]:[N=65536 current nodes UP],[Susceptible= 65482],[remove = 0], [ incrementalVisited = 33] ,[totalVisited = 54] 
[time=8]:[N=65536 current nodes UP],[Susceptible= 65405],[remove = 0], [ incrementalVisited = 77] ,[totalVisited = 131] 
[time=9]:[N=65536 current nodes UP],[Susceptible= 65257],[remove = 0], [ incrementalVisited = 148] ,[totalVisited = 279] 
[time=10]:[N=65536 current nodes UP],[Susceptible= 64991],[remove = 0], [ incrementalVisited = 266] ,[totalVisited = 545] 
[time=11]:[N=65536 current nodes UP],[Susceptible= 64529],[remove = 0], [ incrementalVisited = 462] ,[totalVisited = 1007] 
[time=12]:[N=65536 current nodes UP],[Susceptible= 63832],[remove = 0], [ incrementalVisited = 697] ,[totalVisited = 1704] 
[time=13]:[N=65536 current nodes UP],[Susceptible= 62811],[remove = 0], [ incrementalVisited = 1021] ,[totalVisited = 2725] 
[time=14]:[N=65536 current nodes UP],[Susceptible= 61428],[remove = 0], [ incrementalVisited = 1383] ,[totalVisited = 4108] 
[time=15]:[N=65536 current nodes UP],[Susceptible= 59535],[remove = 0], [ incrementalVisited = 1893] ,[totalVisited = 6001] 
[time=16]:[N=65536 current nodes UP],[Susceptible= 57150],[remove = 0], [ incrementalVisited = 2385] ,[totalVisited = 8386] 
[time=17]:[N=65536 current nodes UP],[Susceptible= 54377],[remove = 0], [ incrementalVisited = 2773] ,[totalVisited = 11159] 
[time=18]:[N=65536 current nodes UP],[Susceptible= 51322],[remove = 0], [ incrementalVisited = 3055] ,[totalVisited = 14214] 
