[time=2]:[N=262144 current nodes UP],[Susceptible= 262143],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=262144 current nodes UP],[Susceptible= 262125],[remove = 0], [ incrementalVisited = 18] ,[totalVisited = 19] 
[time=4]:[N=262144 current nodes UP],[Susceptible= 255770],[remove = 6291], [ incrementalVisited = 64] ,[totalVisited = 83] 
[time=5]:[N=262144 current nodes UP],[Susceptible= 246476],[remove = 15193], [ incrementalVisited = 394] ,[totalVisited = 475] 
[time=6]:[N=262144 current nodes UP],[Susceptible= 232938],[remove = 26598], [ incrementalVisited = 2151] ,[totalVisited = 2608] 
[time=7]:[N=262144 current nodes UP],[Susceptible= 212919],[remove = 39434], [ incrementalVisited = 7301] ,[totalVisited = 9791] 
[time=8]:[N=262144 current nodes UP],[Susceptible= 184775],[remove = 52565], [ incrementalVisited = 15497] ,[totalVisited = 24804] 
[time=9]:[N=262144 current nodes UP],[Susceptible= 149832],[remove = 64829], [ incrementalVisited = 23912] ,[totalVisited = 47483] 
[time=10]:[N=262144 current nodes UP],[Susceptible= 110479],[remove = 76022], [ incrementalVisited = 30498] ,[totalVisited = 75643] 
[time=11]:[N=262144 current nodes UP],[Susceptible= 72032],[remove = 86161], [ incrementalVisited = 31991] ,[totalVisited = 103951] 
[time=12]:[N=262144 current nodes UP],[Susceptible= 40799],[remove = 95271], [ incrementalVisited = 27097] ,[totalVisited = 126074] 
[time=13]:[N=262144 current nodes UP],[Susceptible= 19177],[remove = 103716], [ incrementalVisited = 19260] ,[totalVisited = 139251] 
[time=14]:[N=262144 current nodes UP],[Susceptible= 7385],[remove = 111585], [ incrementalVisited = 10676] ,[totalVisited = 143174] 
[time=15]:[N=262144 current nodes UP],[Susceptible= 2249],[remove = 119019], [ incrementalVisited = 4703] ,[totalVisited = 140876] 
[time=16]:[N=262144 current nodes UP],[Susceptible= 507],[remove = 126089], [ incrementalVisited = 1610] ,[totalVisited = 135548] 
[time=17]:[N=262144 current nodes UP],[Susceptible= 138],[remove = 132283], [ incrementalVisited = 342] ,[totalVisited = 129723] 
[time=18]:[N=262144 current nodes UP],[Susceptible= 56],[remove = 137477], [ incrementalVisited = 76] ,[totalVisited = 124611] 
[time=19]:[N=262144 current nodes UP],[Susceptible= 37],[remove = 141902], [ incrementalVisited = 17] ,[totalVisited = 120205] 
[time=20]:[N=262144 current nodes UP],[Susceptible= 33],[remove = 145629], [ incrementalVisited = 3] ,[totalVisited = 116482] 
[time=21]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 148600], [ incrementalVisited = 2] ,[totalVisited = 113514] 
[time=22]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 150756], [ incrementalVisited = 0] ,[totalVisited = 111358] 
[time=23]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 152315], [ incrementalVisited = 0] ,[totalVisited = 109799] 
[time=24]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 153467], [ incrementalVisited = 0] ,[totalVisited = 108647] 
[time=25]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 154553], [ incrementalVisited = 0] ,[totalVisited = 107561] 
[time=26]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 155736], [ incrementalVisited = 0] ,[totalVisited = 106378] 
[time=27]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 157331], [ incrementalVisited = 0] ,[totalVisited = 104783] 
[time=28]:[N=262144 current nodes UP],[Susceptible= 30],[remove = 159426], [ incrementalVisited = 0] ,[totalVisited = 102688] 
[time=29]:[N=262144 current nodes UP],[Susceptible= 29],[remove = 162404], [ incrementalVisited = 0] ,[totalVisited = 99711] 
[time=30]:[N=262144 current nodes UP],[Susceptible= 28],[remove = 166243], [ incrementalVisited = 0] ,[totalVisited = 95873] 
[time=31]:[N=262144 current nodes UP],[Susceptible= 27],[remove = 170606], [ incrementalVisited = 0] ,[totalVisited = 91511] 
[time=32]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 175136], [ incrementalVisited = 0] ,[totalVisited = 86982] 
[time=33]:[N=262144 current nodes UP],[Susceptible= 25],[remove = 179464], [ incrementalVisited = 0] ,[totalVisited = 82655] 
[time=34]:[N=262144 current nodes UP],[Susceptible= 24],[remove = 183535], [ incrementalVisited = 0] ,[totalVisited = 78585] 
[time=35]:[N=262144 current nodes UP],[Susceptible= 23],[remove = 187363], [ incrementalVisited = 0] ,[totalVisited = 74758] 
[time=36]:[N=262144 current nodes UP],[Susceptible= 22],[remove = 190941], [ incrementalVisited = 0] ,[totalVisited = 71181] 
[time=37]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 194376], [ incrementalVisited = 0] ,[totalVisited = 67747] 
[time=38]:[N=262144 current nodes UP],[Susceptible= 20],[remove = 197662], [ incrementalVisited = 0] ,[totalVisited = 64462] 
[time=39]:[N=262144 current nodes UP],[Susceptible= 19],[remove = 200815], [ incrementalVisited = 0] ,[totalVisited = 61310] 
[time=40]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 203835], [ incrementalVisited = 0] ,[totalVisited = 58291] 
[time=41]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 206487], [ incrementalVisited = 0] ,[totalVisited = 55639] 
[time=42]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 208712], [ incrementalVisited = 0] ,[totalVisited = 53414] 
[time=43]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 210608], [ incrementalVisited = 0] ,[totalVisited = 51518] 
[time=44]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 212205], [ incrementalVisited = 0] ,[totalVisited = 49921] 
[time=45]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 213477], [ incrementalVisited = 0] ,[totalVisited = 48649] 
[time=46]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 214401], [ incrementalVisited = 0] ,[totalVisited = 47725] 
[time=47]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 215069], [ incrementalVisited = 0] ,[totalVisited = 47057] 
[time=48]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 215563], [ incrementalVisited = 0] ,[totalVisited = 46563] 
[time=49]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 216028], [ incrementalVisited = 0] ,[totalVisited = 46098] 
