[time=2]:[N=1048576 current nodes UP],[Susceptible= 1048575],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=1048576 current nodes UP],[Susceptible= 1048555],[remove = 0], [ incrementalVisited = 20] ,[totalVisited = 21] 
[time=4]:[N=1048576 current nodes UP],[Susceptible= 1048365],[remove = 0], [ incrementalVisited = 190] ,[totalVisited = 211] 
[time=5]:[N=1048576 current nodes UP],[Susceptible= 1047225],[remove = 0], [ incrementalVisited = 1140] ,[totalVisited = 1351] 
[time=6]:[N=1048576 current nodes UP],[Susceptible= 1042380],[remove = 0], [ incrementalVisited = 4845] ,[totalVisited = 6196] 
[time=7]:[N=1048576 current nodes UP],[Susceptible= 1026876],[remove = 0], [ incrementalVisited = 15504] ,[totalVisited = 21700] 
[time=8]:[N=1048576 current nodes UP],[Susceptible= 988116],[remove = 0], [ incrementalVisited = 38760] ,[totalVisited = 60460] 
[time=9]:[N=1048576 current nodes UP],[Susceptible= 910596],[remove = 0], [ incrementalVisited = 77520] ,[totalVisited = 137980] 
[time=10]:[N=1048576 current nodes UP],[Susceptible= 784626],[remove = 0], [ incrementalVisited = 125970] ,[totalVisited = 263950] 
[time=11]:[N=1048576 current nodes UP],[Susceptible= 616666],[remove = 0], [ incrementalVisited = 167960] ,[totalVisited = 431910] 
[time=12]:[N=1048576 current nodes UP],[Susceptible= 431910],[remove = 0], [ incrementalVisited = 184756] ,[totalVisited = 616666] 
[time=13]:[N=1048576 current nodes UP],[Susceptible= 263950],[remove = 0], [ incrementalVisited = 167960] ,[totalVisited = 784626] 
[time=14]:[N=1048576 current nodes UP],[Susceptible= 137980],[remove = 0], [ incrementalVisited = 125970] ,[totalVisited = 910596] 
[time=15]:[N=1048576 current nodes UP],[Susceptible= 60460],[remove = 0], [ incrementalVisited = 77520] ,[totalVisited = 988116] 
[time=16]:[N=1048576 current nodes UP],[Susceptible= 21700],[remove = 0], [ incrementalVisited = 38760] ,[totalVisited = 1026876] 
[time=17]:[N=1048576 current nodes UP],[Susceptible= 6196],[remove = 0], [ incrementalVisited = 15504] ,[totalVisited = 1042380] 
[time=18]:[N=1048576 current nodes UP],[Susceptible= 1351],[remove = 0], [ incrementalVisited = 4845] ,[totalVisited = 1047225] 
[time=19]:[N=1048576 current nodes UP],[Susceptible= 211],[remove = 0], [ incrementalVisited = 1140] ,[totalVisited = 1048365] 
[time=20]:[N=1048576 current nodes UP],[Susceptible= 21],[remove = 0], [ incrementalVisited = 190] ,[totalVisited = 1048555] 
[time=21]:[N=1048576 current nodes UP],[Susceptible= 1],[remove = 0], [ incrementalVisited = 20] ,[totalVisited = 1048575] 
[time=22]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1048576] 
[time=23]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=24]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=25]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=26]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=27]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=28]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=29]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=30]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=31]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=32]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=33]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=34]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=35]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=36]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=37]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=38]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=39]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=40]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=41]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=42]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=43]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=44]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=45]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=46]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=47]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=48]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=49]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=50]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=51]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=52]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=53]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=54]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=55]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=56]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=57]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=58]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=59]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=60]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=61]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=62]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=63]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=64]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=65]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=66]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=67]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=68]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=69]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=70]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=71]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=72]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=73]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=74]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=75]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=76]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=77]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=78]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=79]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=80]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=81]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=82]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=83]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=84]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=85]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=86]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=87]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=88]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=89]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=90]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=91]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=92]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=93]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=94]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=95]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=96]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=97]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=98]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
[time=99]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 1048576] 
