[time=2]:[N=1048576 current nodes UP],[Susceptible= 1048575],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=1048576 current nodes UP],[Susceptible= 1048555],[remove = 0], [ incrementalVisited = 20] ,[totalVisited = 21] 
[time=4]:[N=1048576 current nodes UP],[Susceptible= 985464],[remove = 62914], [ incrementalVisited = 178] ,[totalVisited = 198] 
[time=5]:[N=1048576 current nodes UP],[Susceptible= 925329],[remove = 122050], [ incrementalVisited = 1008] ,[totalVisited = 1197] 
[time=6]:[N=1048576 current nodes UP],[Susceptible= 865785],[remove = 177628], [ incrementalVisited = 4025] ,[totalVisited = 5163] 
[time=7]:[N=1048576 current nodes UP],[Susceptible= 801699],[remove = 229833], [ incrementalVisited = 12139] ,[totalVisited = 17044] 
[time=8]:[N=1048576 current nodes UP],[Susceptible= 725129],[remove = 278786], [ incrementalVisited = 28469] ,[totalVisited = 44661] 
[time=9]:[N=1048576 current nodes UP],[Susceptible= 628233],[remove = 324526], [ incrementalVisited = 53389] ,[totalVisited = 95817] 
[time=10]:[N=1048576 current nodes UP],[Susceptible= 508793],[remove = 367009], [ incrementalVisited = 81747] ,[totalVisited = 172774] 
[time=11]:[N=1048576 current nodes UP],[Susceptible= 375627],[remove = 406174], [ incrementalVisited = 102639] ,[totalVisited = 266775] 
[time=12]:[N=1048576 current nodes UP],[Susceptible= 247280],[remove = 442049], [ incrementalVisited = 105810] ,[totalVisited = 359247] 
[time=13]:[N=1048576 current nodes UP],[Susceptible= 142237],[remove = 474847], [ incrementalVisited = 90207] ,[totalVisited = 431492] 
[time=14]:[N=1048576 current nodes UP],[Susceptible= 69772],[remove = 504955], [ incrementalVisited = 63931] ,[totalVisited = 473849] 
[time=15]:[N=1048576 current nodes UP],[Susceptible= 28586],[remove = 532833], [ incrementalVisited = 37000] ,[totalVisited = 487157] 
[time=16]:[N=1048576 current nodes UP],[Susceptible= 9697],[remove = 558905], [ incrementalVisited = 17174] ,[totalVisited = 479974] 
[time=17]:[N=1048576 current nodes UP],[Susceptible= 2589],[remove = 583484], [ incrementalVisited = 6527] ,[totalVisited = 462503] 
[time=18]:[N=1048576 current nodes UP],[Susceptible= 512],[remove = 606764], [ incrementalVisited = 1922] ,[totalVisited = 441300] 
[time=19]:[N=1048576 current nodes UP],[Susceptible= 68],[remove = 628859], [ incrementalVisited = 414] ,[totalVisited = 419649] 
[time=20]:[N=1048576 current nodes UP],[Susceptible= 6],[remove = 649845], [ incrementalVisited = 58] ,[totalVisited = 398725] 
[time=21]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 669781], [ incrementalVisited = 6] ,[totalVisited = 378795] 
