[time=2]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=65536 current nodes UP],[Susceptible= 65524],[remove = 0], [ incrementalVisited = 11] ,[totalVisited = 12] 
[time=4]:[N=65536 current nodes UP],[Susceptible= 61471],[remove = 3931], [ incrementalVisited = 122] ,[totalVisited = 134] 
[time=5]:[N=65536 current nodes UP],[Susceptible= 56560],[remove = 7625], [ incrementalVisited = 1223] ,[totalVisited = 1351] 
[time=6]:[N=65536 current nodes UP],[Susceptible= 43383],[remove = 11085], [ incrementalVisited = 9784] ,[totalVisited = 11068] 
[time=7]:[N=65536 current nodes UP],[Susceptible= 9179],[remove = 14240], [ incrementalVisited = 31602] ,[totalVisited = 42117] 
[time=8]:[N=65536 current nodes UP],[Susceptible= 18],[remove = 16895], [ incrementalVisited = 8611] ,[totalVisited = 48623] 
[time=9]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 19327], [ incrementalVisited = 15] ,[totalVisited = 46207] 
[time=10]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 21637], [ incrementalVisited = 0] ,[totalVisited = 43897] 
[time=11]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 23831], [ incrementalVisited = 0] ,[totalVisited = 41703] 
[time=12]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 25916], [ incrementalVisited = 0] ,[totalVisited = 39618] 
[time=13]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 27896], [ incrementalVisited = 0] ,[totalVisited = 37638] 
[time=14]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 29777], [ incrementalVisited = 0] ,[totalVisited = 35757] 
[time=15]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 31564], [ incrementalVisited = 0] ,[totalVisited = 33970] 
[time=16]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 33262], [ incrementalVisited = 0] ,[totalVisited = 32272] 
[time=17]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 34875], [ incrementalVisited = 0] ,[totalVisited = 30659] 
[time=18]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 36407], [ incrementalVisited = 0] ,[totalVisited = 29127] 
[time=19]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 37863], [ incrementalVisited = 0] ,[totalVisited = 27671] 
[time=20]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 39246], [ incrementalVisited = 0] ,[totalVisited = 26288] 
[time=21]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 40560], [ incrementalVisited = 0] ,[totalVisited = 24974] 
[time=22]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 41808], [ incrementalVisited = 0] ,[totalVisited = 23726] 
[time=23]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 42994], [ incrementalVisited = 0] ,[totalVisited = 22540] 
[time=24]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 44121], [ incrementalVisited = 0] ,[totalVisited = 21413] 
