[time=2]:[N=131072 current nodes UP],[Susceptible= 131071],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=131072 current nodes UP],[Susceptible= 131062],[remove = 0], [ incrementalVisited = 9] ,[totalVisited = 10] 
[time=4]:[N=131072 current nodes UP],[Susceptible= 127876],[remove = 3145], [ incrementalVisited = 41] ,[totalVisited = 51] 
[time=5]:[N=131072 current nodes UP],[Susceptible= 123174],[remove = 7596], [ incrementalVisited = 252] ,[totalVisited = 302] 
[time=6]:[N=131072 current nodes UP],[Susceptible= 115493],[remove = 13297], [ incrementalVisited = 1991] ,[totalVisited = 2282] 
[time=7]:[N=131072 current nodes UP],[Susceptible= 93302],[remove = 19705], [ incrementalVisited = 15886] ,[totalVisited = 18065] 
[time=8]:[N=131072 current nodes UP],[Susceptible= 23817],[remove = 26141], [ incrementalVisited = 63943] ,[totalVisited = 81114] 
[time=9]:[N=131072 current nodes UP],[Susceptible= 178],[remove = 31597], [ incrementalVisited = 22218] ,[totalVisited = 99297] 
[time=10]:[N=131072 current nodes UP],[Susceptible= 24],[remove = 36497], [ incrementalVisited = 144] ,[totalVisited = 94551] 
[time=11]:[N=131072 current nodes UP],[Susceptible= 21],[remove = 41102], [ incrementalVisited = 2] ,[totalVisited = 89949] 
[time=12]:[N=131072 current nodes UP],[Susceptible= 20],[remove = 45407], [ incrementalVisited = 0] ,[totalVisited = 85645] 
[time=13]:[N=131072 current nodes UP],[Susceptible= 19],[remove = 49540], [ incrementalVisited = 0] ,[totalVisited = 81513] 
[time=14]:[N=131072 current nodes UP],[Susceptible= 18],[remove = 53494], [ incrementalVisited = 0] ,[totalVisited = 77560] 
[time=15]:[N=131072 current nodes UP],[Susceptible= 17],[remove = 57287], [ incrementalVisited = 0] ,[totalVisited = 73768] 
[time=16]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 60921], [ incrementalVisited = 0] ,[totalVisited = 70135] 
[time=17]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 64112], [ incrementalVisited = 0] ,[totalVisited = 66944] 
[time=18]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 66789], [ incrementalVisited = 0] ,[totalVisited = 64267] 
[time=19]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 69070], [ incrementalVisited = 0] ,[totalVisited = 61986] 
[time=20]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 70991], [ incrementalVisited = 0] ,[totalVisited = 60065] 
[time=21]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 72522], [ incrementalVisited = 0] ,[totalVisited = 58534] 
[time=22]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 73634], [ incrementalVisited = 0] ,[totalVisited = 57422] 
[time=23]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 74437], [ incrementalVisited = 0] ,[totalVisited = 56619] 
