[time=2]:[N=32768 current nodes UP],[Susceptible= 32767],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=32768 current nodes UP],[Susceptible= 32761],[remove = 0], [ incrementalVisited = 6] ,[totalVisited = 7] 
[time=4]:[N=32768 current nodes UP],[Susceptible= 32739],[remove = 0], [ incrementalVisited = 22] ,[totalVisited = 29] 
[time=5]:[N=32768 current nodes UP],[Susceptible= 32645],[remove = 0], [ incrementalVisited = 94] ,[totalVisited = 123] 
[time=6]:[N=32768 current nodes UP],[Susceptible= 32329],[remove = 0], [ incrementalVisited = 316] ,[totalVisited = 439] 
[time=7]:[N=32768 current nodes UP],[Susceptible= 31236],[remove = 0], [ incrementalVisited = 1093] ,[totalVisited = 1532] 
[time=8]:[N=32768 current nodes UP],[Susceptible= 28039],[remove = 0], [ incrementalVisited = 3197] ,[totalVisited = 4729] 
[time=9]:[N=32768 current nodes UP],[Susceptible= 20243],[remove = 0], [ incrementalVisited = 7796] ,[totalVisited = 12525] 
[time=10]:[N=32768 current nodes UP],[Susceptible= 8830],[remove = 0], [ incrementalVisited = 11413] ,[totalVisited = 23938] 
[time=11]:[N=32768 current nodes UP],[Susceptible= 1730],[remove = 0], [ incrementalVisited = 7100] ,[totalVisited = 31038] 
[time=12]:[N=32768 current nodes UP],[Susceptible= 207],[remove = 0], [ incrementalVisited = 1523] ,[totalVisited = 32561] 
[time=13]:[N=32768 current nodes UP],[Susceptible= 25],[remove = 0], [ incrementalVisited = 182] ,[totalVisited = 32743] 
[time=14]:[N=32768 current nodes UP],[Susceptible= 1],[remove = 0], [ incrementalVisited = 24] ,[totalVisited = 32767] 
[time=15]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 32768] 
[time=16]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=17]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=18]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=19]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=20]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=21]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=22]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=23]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=24]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=25]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=26]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=27]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=28]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=29]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=30]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=31]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=32]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=33]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=34]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=35]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=36]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=37]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=38]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=39]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=40]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=41]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
