[time=2]:[N=32768 current nodes UP],[Susceptible= 32767],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=32768 current nodes UP],[Susceptible= 32763],[remove = 0], [ incrementalVisited = 4] ,[totalVisited = 5] 
[time=4]:[N=32768 current nodes UP],[Susceptible= 30783],[remove = 1965], [ incrementalVisited = 15] ,[totalVisited = 20] 
[time=5]:[N=32768 current nodes UP],[Susceptible= 28879],[remove = 3812], [ incrementalVisited = 58] ,[totalVisited = 77] 
[time=6]:[N=32768 current nodes UP],[Susceptible= 26982],[remove = 5547], [ incrementalVisited = 165] ,[totalVisited = 239] 
[time=7]:[N=32768 current nodes UP],[Susceptible= 24916],[remove = 7176], [ incrementalVisited = 448] ,[totalVisited = 676] 
[time=8]:[N=32768 current nodes UP],[Susceptible= 22273],[remove = 8703], [ incrementalVisited = 1149] ,[totalVisited = 1792] 
[time=9]:[N=32768 current nodes UP],[Susceptible= 18481],[remove = 10128], [ incrementalVisited = 2456] ,[totalVisited = 4159] 
[time=10]:[N=32768 current nodes UP],[Susceptible= 13018],[remove = 11443], [ incrementalVisited = 4355] ,[totalVisited = 8307] 
[time=11]:[N=32768 current nodes UP],[Susceptible= 6840],[remove = 12639], [ incrementalVisited = 5397] ,[totalVisited = 13289] 
[time=12]:[N=32768 current nodes UP],[Susceptible= 2578],[remove = 13713], [ incrementalVisited = 3852] ,[totalVisited = 16477] 
[time=13]:[N=32768 current nodes UP],[Susceptible= 723],[remove = 14690], [ incrementalVisited = 1701] ,[totalVisited = 17355] 
[time=14]:[N=32768 current nodes UP],[Susceptible= 179],[remove = 15600], [ incrementalVisited = 501] ,[totalVisited = 16989] 
[time=15]:[N=32768 current nodes UP],[Susceptible= 64],[remove = 16459], [ incrementalVisited = 105] ,[totalVisited = 16245] 
[time=16]:[N=32768 current nodes UP],[Susceptible= 21],[remove = 17274], [ incrementalVisited = 40] ,[totalVisited = 15473] 
[time=17]:[N=32768 current nodes UP],[Susceptible= 15],[remove = 18048], [ incrementalVisited = 5] ,[totalVisited = 14705] 
[time=18]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 18783], [ incrementalVisited = 5] ,[totalVisited = 13975] 
[time=19]:[N=32768 current nodes UP],[Susceptible= 9],[remove = 19481], [ incrementalVisited = 1] ,[totalVisited = 13278] 
[time=20]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 20144], [ incrementalVisited = 1] ,[totalVisited = 12616] 
[time=21]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 20774], [ incrementalVisited = 0] ,[totalVisited = 11986] 
[time=22]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 21373], [ incrementalVisited = 0] ,[totalVisited = 11387] 
[time=23]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 21942], [ incrementalVisited = 0] ,[totalVisited = 10818] 
[time=24]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 22482], [ incrementalVisited = 0] ,[totalVisited = 10278] 
[time=25]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 22995], [ incrementalVisited = 0] ,[totalVisited = 9765] 
[time=26]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 23483], [ incrementalVisited = 0] ,[totalVisited = 9277] 
[time=27]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 23946], [ incrementalVisited = 0] ,[totalVisited = 8814] 
[time=28]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 24386], [ incrementalVisited = 0] ,[totalVisited = 8374] 
[time=29]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 24804], [ incrementalVisited = 0] ,[totalVisited = 7956] 
[time=30]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 25201], [ incrementalVisited = 0] ,[totalVisited = 7559] 
[time=31]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 25578], [ incrementalVisited = 0] ,[totalVisited = 7182] 
[time=32]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 25937], [ incrementalVisited = 0] ,[totalVisited = 6823] 
[time=33]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 26278], [ incrementalVisited = 0] ,[totalVisited = 6482] 
[time=34]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 26602], [ incrementalVisited = 0] ,[totalVisited = 6158] 
[time=35]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 26909], [ incrementalVisited = 0] ,[totalVisited = 5851] 
[time=36]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 27201], [ incrementalVisited = 0] ,[totalVisited = 5559] 
[time=37]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 27478], [ incrementalVisited = 0] ,[totalVisited = 5282] 
[time=38]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 27742], [ incrementalVisited = 0] ,[totalVisited = 5018] 
[time=39]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 27992], [ incrementalVisited = 0] ,[totalVisited = 4768] 
[time=40]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 28230], [ incrementalVisited = 0] ,[totalVisited = 4530] 
[time=41]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 28456], [ incrementalVisited = 0] ,[totalVisited = 4304] 
[time=42]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 28671], [ incrementalVisited = 0] ,[totalVisited = 4089] 
[time=43]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 28875], [ incrementalVisited = 0] ,[totalVisited = 3885] 
[time=44]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 29069], [ incrementalVisited = 0] ,[totalVisited = 3691] 
[time=45]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 29253], [ incrementalVisited = 0] ,[totalVisited = 3507] 
