[time=2]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=65536 current nodes UP],[Susceptible= 65528],[remove = 0], [ incrementalVisited = 7] ,[totalVisited = 8] 
[time=4]:[N=65536 current nodes UP],[Susceptible= 63948],[remove = 1572], [ incrementalVisited = 8] ,[totalVisited = 16] 
[time=5]:[N=65536 current nodes UP],[Susceptible= 61702],[remove = 3797], [ incrementalVisited = 21] ,[totalVisited = 37] 
[time=6]:[N=65536 current nodes UP],[Susceptible= 58796],[remove = 6648], [ incrementalVisited = 56] ,[totalVisited = 92] 
[time=7]:[N=65536 current nodes UP],[Susceptible= 55406],[remove = 9862], [ incrementalVisited = 180] ,[totalVisited = 268] 
[time=8]:[N=65536 current nodes UP],[Susceptible= 51624],[remove = 13166], [ incrementalVisited = 491] ,[totalVisited = 746] 
[time=9]:[N=65536 current nodes UP],[Susceptible= 47182],[remove = 16284], [ incrementalVisited = 1361] ,[totalVisited = 2070] 
[time=10]:[N=65536 current nodes UP],[Susceptible= 41211],[remove = 19173], [ incrementalVisited = 3183] ,[totalVisited = 5152] 
[time=11]:[N=65536 current nodes UP],[Susceptible= 32272],[remove = 21831], [ incrementalVisited = 6531] ,[totalVisited = 11433] 
[time=12]:[N=65536 current nodes UP],[Susceptible= 20435],[remove = 24231], [ incrementalVisited = 9984] ,[totalVisited = 20870] 
[time=13]:[N=65536 current nodes UP],[Susceptible= 9355],[remove = 26420], [ incrementalVisited = 9897] ,[totalVisited = 29761] 
[time=14]:[N=65536 current nodes UP],[Susceptible= 3127],[remove = 28407], [ incrementalVisited = 5684] ,[totalVisited = 34002] 
[time=15]:[N=65536 current nodes UP],[Susceptible= 881],[remove = 30252], [ incrementalVisited = 2063] ,[totalVisited = 34403] 
[time=16]:[N=65536 current nodes UP],[Susceptible= 236],[remove = 31998], [ incrementalVisited = 593] ,[totalVisited = 33302] 
[time=17]:[N=65536 current nodes UP],[Susceptible= 80],[remove = 33525], [ incrementalVisited = 144] ,[totalVisited = 31931] 
[time=18]:[N=65536 current nodes UP],[Susceptible= 47],[remove = 34805], [ incrementalVisited = 30] ,[totalVisited = 30684] 
[time=19]:[N=65536 current nodes UP],[Susceptible= 37],[remove = 35896], [ incrementalVisited = 8] ,[totalVisited = 29603] 
[time=20]:[N=65536 current nodes UP],[Susceptible= 34],[remove = 36814], [ incrementalVisited = 2] ,[totalVisited = 28688] 
[time=21]:[N=65536 current nodes UP],[Susceptible= 33],[remove = 37546], [ incrementalVisited = 0] ,[totalVisited = 27957] 
[time=22]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 38077], [ incrementalVisited = 1] ,[totalVisited = 27427] 
[time=23]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 38460], [ incrementalVisited = 0] ,[totalVisited = 27044] 
[time=24]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 38743], [ incrementalVisited = 0] ,[totalVisited = 26761] 
[time=25]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 39010], [ incrementalVisited = 0] ,[totalVisited = 26494] 
[time=26]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 39301], [ incrementalVisited = 0] ,[totalVisited = 26203] 
[time=27]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 39694], [ incrementalVisited = 0] ,[totalVisited = 25810] 
[time=28]:[N=65536 current nodes UP],[Susceptible= 32],[remove = 40210], [ incrementalVisited = 0] ,[totalVisited = 25294] 
[time=29]:[N=65536 current nodes UP],[Susceptible= 31],[remove = 40944], [ incrementalVisited = 0] ,[totalVisited = 24561] 
[time=30]:[N=65536 current nodes UP],[Susceptible= 30],[remove = 41890], [ incrementalVisited = 0] ,[totalVisited = 23616] 
[time=31]:[N=65536 current nodes UP],[Susceptible= 29],[remove = 42965], [ incrementalVisited = 0] ,[totalVisited = 22542] 
[time=32]:[N=65536 current nodes UP],[Susceptible= 28],[remove = 44081], [ incrementalVisited = 0] ,[totalVisited = 21427] 
[time=33]:[N=65536 current nodes UP],[Susceptible= 27],[remove = 45147], [ incrementalVisited = 0] ,[totalVisited = 20362] 
[time=34]:[N=65536 current nodes UP],[Susceptible= 26],[remove = 46150], [ incrementalVisited = 0] ,[totalVisited = 19360] 
[time=35]:[N=65536 current nodes UP],[Susceptible= 25],[remove = 47093], [ incrementalVisited = 0] ,[totalVisited = 18418] 
[time=36]:[N=65536 current nodes UP],[Susceptible= 24],[remove = 47975], [ incrementalVisited = 0] ,[totalVisited = 17537] 
[time=37]:[N=65536 current nodes UP],[Susceptible= 23],[remove = 48822], [ incrementalVisited = 0] ,[totalVisited = 16691] 
[time=38]:[N=65536 current nodes UP],[Susceptible= 22],[remove = 49632], [ incrementalVisited = 0] ,[totalVisited = 15882] 
[time=39]:[N=65536 current nodes UP],[Susceptible= 21],[remove = 50409], [ incrementalVisited = 0] ,[totalVisited = 15106] 
[time=40]:[N=65536 current nodes UP],[Susceptible= 20],[remove = 51153], [ incrementalVisited = 0] ,[totalVisited = 14363] 
[time=41]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 51807], [ incrementalVisited = 0] ,[totalVisited = 13710] 
[time=42]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 52355], [ incrementalVisited = 0] ,[totalVisited = 13162] 
[time=43]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 52822], [ incrementalVisited = 0] ,[totalVisited = 12695] 
[time=44]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 53215], [ incrementalVisited = 0] ,[totalVisited = 12302] 
[time=45]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 53528], [ incrementalVisited = 0] ,[totalVisited = 11989] 
[time=46]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 53755], [ incrementalVisited = 0] ,[totalVisited = 11762] 
[time=47]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 53919], [ incrementalVisited = 0] ,[totalVisited = 11598] 
[time=48]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54040], [ incrementalVisited = 0] ,[totalVisited = 11477] 
[time=49]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54154], [ incrementalVisited = 0] ,[totalVisited = 11363] 
[time=50]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54278], [ incrementalVisited = 0] ,[totalVisited = 11239] 
[time=51]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54446], [ incrementalVisited = 0] ,[totalVisited = 11071] 
[time=52]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54667], [ incrementalVisited = 0] ,[totalVisited = 10850] 
[time=53]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 54981], [ incrementalVisited = 0] ,[totalVisited = 10536] 
[time=54]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 55386], [ incrementalVisited = 0] ,[totalVisited = 10131] 
[time=55]:[N=65536 current nodes UP],[Susceptible= 18],[remove = 55847], [ incrementalVisited = 0] ,[totalVisited = 9671] 
[time=56]:[N=65536 current nodes UP],[Susceptible= 17],[remove = 56326], [ incrementalVisited = 0] ,[totalVisited = 9193] 
[time=57]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 56784], [ incrementalVisited = 0] ,[totalVisited = 8736] 
[time=58]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 57214], [ incrementalVisited = 0] ,[totalVisited = 8306] 
[time=59]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 57618], [ incrementalVisited = 0] ,[totalVisited = 7902] 
[time=60]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 57996], [ incrementalVisited = 0] ,[totalVisited = 7524] 
[time=61]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 58359], [ incrementalVisited = 0] ,[totalVisited = 7161] 
[time=62]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 58706], [ incrementalVisited = 0] ,[totalVisited = 6814] 
[time=63]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 59039], [ incrementalVisited = 0] ,[totalVisited = 6481] 
[time=64]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 59358], [ incrementalVisited = 0] ,[totalVisited = 6162] 
[time=65]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 59638], [ incrementalVisited = 0] ,[totalVisited = 5882] 
[time=66]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 59873], [ incrementalVisited = 0] ,[totalVisited = 5647] 
[time=67]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60073], [ incrementalVisited = 0] ,[totalVisited = 5447] 
[time=68]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60241], [ incrementalVisited = 0] ,[totalVisited = 5279] 
[time=69]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60375], [ incrementalVisited = 0] ,[totalVisited = 5145] 
[time=70]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60472], [ incrementalVisited = 0] ,[totalVisited = 5048] 
[time=71]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60542], [ incrementalVisited = 0] ,[totalVisited = 4978] 
[time=72]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60594], [ incrementalVisited = 0] ,[totalVisited = 4926] 
[time=73]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60643], [ incrementalVisited = 0] ,[totalVisited = 4877] 
[time=74]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60696], [ incrementalVisited = 0] ,[totalVisited = 4824] 
[time=75]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60768], [ incrementalVisited = 0] ,[totalVisited = 4752] 
[time=76]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60863], [ incrementalVisited = 0] ,[totalVisited = 4657] 
[time=77]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 60998], [ incrementalVisited = 0] ,[totalVisited = 4522] 
[time=78]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 61172], [ incrementalVisited = 0] ,[totalVisited = 4348] 
[time=79]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 61369], [ incrementalVisited = 0] ,[totalVisited = 4151] 
[time=80]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 61574], [ incrementalVisited = 0] ,[totalVisited = 3946] 
[time=81]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 61770], [ incrementalVisited = 0] ,[totalVisited = 3750] 
[time=82]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 61954], [ incrementalVisited = 0] ,[totalVisited = 3566] 
[time=83]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62127], [ incrementalVisited = 0] ,[totalVisited = 3393] 
[time=84]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62289], [ incrementalVisited = 0] ,[totalVisited = 3231] 
[time=85]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62444], [ incrementalVisited = 0] ,[totalVisited = 3076] 
[time=86]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62593], [ incrementalVisited = 0] ,[totalVisited = 2927] 
[time=87]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62736], [ incrementalVisited = 0] ,[totalVisited = 2784] 
[time=88]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62873], [ incrementalVisited = 0] ,[totalVisited = 2647] 
[time=89]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 62993], [ incrementalVisited = 0] ,[totalVisited = 2527] 
[time=90]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 63094], [ incrementalVisited = 0] ,[totalVisited = 2426] 
[time=91]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 63180], [ incrementalVisited = 0] ,[totalVisited = 2340] 
[time=92]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 63252], [ incrementalVisited = 0] ,[totalVisited = 2268] 
[time=93]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 63309], [ incrementalVisited = 0] ,[totalVisited = 2211] 
[time=94]:[N=65536 current nodes UP],[Susceptible= 16],[remove = 63351], [ incrementalVisited = 0] ,[totalVisited = 2169] 
